case_id,e1,e2,e3,t1,t2,t3,total_thickness,peak_downward_uz,peak_downward_abs,mean_patch_uz,mean_patch_abs,pinn_eval_seconds,n_eval_points
random_interior_212,8.8168746,6.8959775,6.4311893,0.047184243,0.054814526,0.094651268,0.19665004,-0.09080382998,0.09080382998,-0.06884318969,0.06884318969,0.000786,441
random_interior_171,6.5156701,9.1301755,7.9195724,0.07619269,0.033888609,0.063799283,0.17388058,-0.09081488924,0.09081488924,-0.07123320738,0.07123320738,0.000791,441
random_interior_430,6.9650019,7.1198986,7.6255421,0.038228133,0.084055788,0.063256988,0.18554091,-0.09178431224,0.09178431224,-0.07041518225,0.07041518225,0.000777,441
random_interior_263,3.6676587,9.5277237,9.5163049,0.085005405,0.092257753,0.047640454,0.22490361,-0.09208030552,0.09208030552,-0.06863832819,0.06863832819,0.000809,441
random_interior_222,3.7926124,9.5702359,8.0777764,0.083777876,0.064394377,0.066935768,0.21510802,-0.0922368849,0.0922368849,-0.07003211136,0.07003211136,0.000868,441
random_interior_104,6.4111624,7.8764363,6.1455165,0.083709608,0.05191225,0.052927021,0.18854888,-0.0943615489,0.0943615489,-0.07310071515,0.07310071515,0.000956,441
random_interior_429,5.8984011,3.0706515,6.775994,0.089572339,0.063706315,0.067677737,0.22095639,-0.09445839316,0.09445839316,-0.07079692592,0.07079692592,0.000774,441
random_interior_414,5.5597876,8.1085213,9.2227229,0.070398101,0.056321621,0.042497398,0.16921712,-0.09447211359,0.09447211359,-0.0745407709,0.0745407709,0.000786,441
random_interior_226,3.8285602,7.276053,7.192511,0.073584676,0.050000585,0.095192175,0.21877744,-0.09568218469,0.09568218469,-0.07244633258,0.07244633258,0.000775,441
random_interior_327,9.2520486,4.8600045,3.9345994,0.072447824,0.071520914,0.055928646,0.19989738,-0.09577397181,0.09577397181,-0.07367484652,0.07367484652,0.000792,441
random_interior_124,9.0882203,5.7078975,6.3823634,0.040769561,0.060398741,0.083471796,0.1846401,-0.09648811683,0.09648811683,-0.07396053725,0.07396053725,0.000836,441
random_interior_244,5.656291,3.2506469,6.5530457,0.09486297,0.063874646,0.088872999,0.24761062,-0.09674175285,0.09674175285,-0.06967696005,0.06967696005,0.000781,441
random_interior_411,2.3139587,8.8469943,6.3529402,0.058746053,0.095728613,0.077609942,0.23208461,-0.09685882884,0.09685882884,-0.07311854718,0.07311854718,0.000772,441
random_interior_487,4.7648773,8.693445,5.6776731,0.077545055,0.052640065,0.075073781,0.2052589,-0.09786007564,0.09786007564,-0.07537631138,0.07537631138,0.001498,441
random_interior_095,7.8984901,4.5418631,9.2607459,0.036121401,0.061719229,0.068430747,0.16627138,-0.09818392501,0.09818392501,-0.07650266284,0.07650266284,0.001030,441
random_interior_096,7.1309658,9.8948757,9.5264515,0.047605715,0.032633214,0.069337405,0.14957633,-0.09825050031,0.09825050031,-0.07804179582,0.07804179582,0.001152,441
random_interior_388,6.149914,9.2187074,9.0792682,0.041582659,0.044687042,0.074919702,0.1611894,-0.09847927312,0.09847927312,-0.07734943582,0.07734943582,0.000838,441
random_interior_449,9.6763944,8.2353087,2.5929368,0.070414135,0.075906102,0.060312503,0.20663274,-0.09934958719,0.09934958719,-0.07616709099,0.07616709099,0.000970,441
random_interior_112,8.6134843,6.8057066,7.7230174,0.050841917,0.041204347,0.061348074,0.15339434,-0.09973554906,0.09973554906,-0.07930089431,0.07930089431,0.000829,441
random_interior_168,6.0088886,8.7441881,4.2861182,0.076272777,0.089262608,0.033105772,0.19864116,-0.1005905221,0.1005905221,-0.07765921794,0.07765921794,0.000879,441
random_interior_397,4.8249007,3.4102689,9.0115955,0.045882364,0.084537915,0.078489488,0.20890977,-0.1008118513,0.1008118513,-0.07659314433,0.07659314433,0.000798,441
random_interior_336,9.1765105,6.6749381,6.4763553,0.063896824,0.098202196,0.023888662,0.18598768,-0.1010242855,0.1010242855,-0.07734211917,0.07734211917,0.000784,441
random_interior_040,8.5036504,3.4448664,6.5354417,0.05017465,0.082306089,0.066260199,0.19874094,-0.1026242492,0.1026242492,-0.07830829201,0.07830829201,0.001319,441
random_interior_413,4.1614522,5.3766585,8.4318879,0.094917022,0.099965406,0.080320082,0.27520251,-0.1036271528,0.1036271528,-0.07088217805,0.07088217805,0.000941,441
random_interior_063,6.9895351,3.8189471,6.1679703,0.09255024,0.045630313,0.061862197,0.20004275,-0.104929267,0.104929267,-0.07912355879,0.07912355879,0.001078,441
