L-BFGS Step 43: Total Loss: 1.778595e+02 | PDE: 9.030663e-01 | BC_sides: 1.239287e-03 | Free_top: 1.266389e-01 | Free_bot: 1.581148e-01 | Load: 1.022576e-01 | Energy: -2.759982e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 9.402961e-03 | ImpactInv: 0.000000e+00 | Time: 0.5226s
L-BFGS Step 44: Total Loss: 1.772035e+02 | PDE: 9.030758e-01 | BC_sides: 1.224526e-03 | Free_top: 1.198436e-01 | Free_bot: 1.604100e-01 | Load: 1.081033e-01 | Energy: -2.749318e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 9.591675e-03 | ImpactInv: 0.000000e+00 | Time: 0.5219s
L-BFGS Step 45: Total Loss: 1.766823e+02 | PDE: 9.265283e-01 | BC_sides: 1.178447e-03 | Free_top: 1.130126e-01 | Free_bot: 1.543764e-01 | Load: 1.136821e-01 | Energy: -2.682724e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.026720e-02 | ImpactInv: 0.000000e+00 | Time: 0.5231s
L-BFGS Step 46: Total Loss: 1.758136e+02 | PDE: 8.620034e-01 | BC_sides: 1.189871e-03 | Free_top: 1.073852e-01 | Free_bot: 1.434231e-01 | Load: 1.132841e-01 | Energy: -2.836544e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 9.693097e-03 | ImpactInv: 0.000000e+00 | Time: 0.5240s
L-BFGS Step 47: Total Loss: 1.752495e+02 | PDE: 8.176147e-01 | BC_sides: 1.197993e-03 | Free_top: 1.065287e-01 | Free_bot: 1.347640e-01 | Load: 1.107408e-01 | Energy: -2.857704e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 9.460758e-03 | ImpactInv: 0.000000e+00 | Time: 0.5240s
L-BFGS Step 48: Total Loss: 1.749352e+02 | PDE: 7.889594e-01 | BC_sides: 1.206375e-03 | Free_top: 1.095780e-01 | Free_bot: 1.270822e-01 | Load: 1.062458e-01 | Energy: -2.875774e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 9.561066e-03 | ImpactInv: 0.000000e+00 | Time: 0.5246s
L-BFGS Step 49: Total Loss: 1.745359e+02 | PDE: 7.445786e-01 | BC_sides: 1.241362e-03 | Free_top: 1.150505e-01 | Free_bot: 1.201235e-01 | Load: 1.014847e-01 | Energy: -2.934393e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 8.995404e-03 | ImpactInv: 0.000000e+00 | Time: 0.5248s
L-BFGS Step 50: Total Loss: 1.740887e+02 | PDE: 7.631218e-01 | BC_sides: 1.235055e-03 | Free_top: 1.195722e-01 | Free_bot: 1.227787e-01 | Load: 9.956173e-02 | Energy: -2.975842e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 9.458550e-03 | ImpactInv: 0.000000e+00 | Time: 0.5255s
L-BFGS Step 51: Total Loss: 1.735357e+02 | PDE: 8.016552e-01 | BC_sides: 1.224081e-03 | Free_top: 1.316742e-01 | Free_bot: 1.330000e-01 | Load: 9.667806e-02 | Energy: -2.966415e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 9.851290e-03 | ImpactInv: 0.000000e+00 | Time: 0.5262s
L-BFGS Step 52: Total Loss: 1.729222e+02 | PDE: 9.006088e-01 | BC_sides: 1.173964e-03 | Free_top: 1.408718e-01 | Free_bot: 1.543924e-01 | Load: 9.832928e-02 | Energy: -2.903870e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.092414e-02 | ImpactInv: 0.000000e+00 | Time: 0.5243s
L-BFGS Step 53: Total Loss: 1.726334e+02 | PDE: 8.707004e-01 | BC_sides: 1.175942e-03 | Free_top: 1.399167e-01 | Free_bot: 1.576920e-01 | Load: 9.706415e-02 | Energy: -2.900427e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.059364e-02 | ImpactInv: 0.000000e+00 | Time: 0.5387s
L-BFGS Step 54: Total Loss: 1.724060e+02 | PDE: 8.679364e-01 | BC_sides: 1.159617e-03 | Free_top: 1.404250e-01 | Free_bot: 1.568458e-01 | Load: 9.714294e-02 | Energy: -2.848978e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.079652e-02 | ImpactInv: 0.000000e+00 | Time: 0.5218s
L-BFGS Step 55: Total Loss: 1.721922e+02 | PDE: 8.610419e-01 | BC_sides: 1.137093e-03 | Free_top: 1.430007e-01 | Free_bot: 1.595873e-01 | Load: 9.759391e-02 | Energy: -2.770062e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.129605e-02 | ImpactInv: 0.000000e+00 | Time: 0.5238s
L-BFGS Step 56: Total Loss: 1.716420e+02 | PDE: 8.838619e-01 | BC_sides: 1.111662e-03 | Free_top: 1.555115e-01 | Free_bot: 1.579146e-01 | Load: 9.398206e-02 | Energy: -2.601198e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.251763e-02 | ImpactInv: 0.000000e+00 | Time: 0.5242s
L-BFGS Step 57: Total Loss: 1.708388e+02 | PDE: 8.558058e-01 | BC_sides: 1.128594e-03 | Free_top: 1.580485e-01 | Free_bot: 1.599417e-01 | Load: 9.620944e-02 | Energy: -2.557263e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.299856e-02 | ImpactInv: 0.000000e+00 | Time: 0.5262s
L-BFGS Step 58: Total Loss: 1.701520e+02 | PDE: 8.648821e-01 | BC_sides: 1.145182e-03 | Free_top: 1.736169e-01 | Free_bot: 1.497605e-01 | Load: 9.214654e-02 | Energy: -2.457055e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.356290e-02 | ImpactInv: 0.000000e+00 | Time: 0.5197s
L-BFGS Step 59: Total Loss: 1.696290e+02 | PDE: 8.377321e-01 | BC_sides: 1.164649e-03 | Free_top: 1.727512e-01 | Free_bot: 1.446074e-01 | Load: 9.216427e-02 | Energy: -2.461518e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 1.317982e-02 | ImpactInv: 0.000000e+00 | Time: 0.5266s
