L-BFGS Step 41: Total Loss: 1.869901e+02 | PDE: 4.578764e-01 | BC_sides: 1.417067e-03 | Free_top: 6.270475e-02 | Free_bot: 5.022485e-02 | Load: 1.055690e-01 | Energy: -3.528690e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 2.902586e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.718487e-01 | Time: 0.5217s
L-BFGS Step 42: Total Loss: 1.867981e+02 | PDE: 5.277814e-01 | BC_sides: 1.354122e-03 | Free_top: 6.494687e-02 | Free_bot: 5.467779e-02 | Load: 1.109375e-01 | Energy: -3.498626e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.170673e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.681945e-01 | Time: 0.5251s
L-BFGS Step 43: Total Loss: 1.861857e+02 | PDE: 6.065854e-01 | BC_sides: 1.315253e-03 | Free_top: 7.476983e-02 | Free_bot: 6.111950e-02 | Load: 1.265543e-01 | Energy: -3.486199e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.336606e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.649513e-01 | Time: 0.5331s
L-BFGS Step 44: Total Loss: 1.855006e+02 | PDE: 7.191578e-01 | BC_sides: 1.302301e-03 | Free_top: 8.524559e-02 | Free_bot: 5.364831e-02 | Load: 1.393910e-01 | Energy: -3.507134e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.624495e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.616782e-01 | Time: 0.5364s
L-BFGS Step 45: Total Loss: 1.851128e+02 | PDE: 6.128658e-01 | BC_sides: 1.385459e-03 | Free_top: 9.136173e-02 | Free_bot: 5.142234e-02 | Load: 1.562527e-01 | Energy: -3.622137e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.513729e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.650359e-01 | Time: 0.5364s
L-BFGS Step 46: Total Loss: 1.848321e+02 | PDE: 6.139209e-01 | BC_sides: 1.359376e-03 | Free_top: 8.900722e-02 | Free_bot: 5.609020e-02 | Load: 1.463219e-01 | Energy: -3.588172e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.304923e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.643570e-01 | Time: 0.5364s
L-BFGS Step 47: Total Loss: 1.845086e+02 | PDE: 6.127126e-01 | BC_sides: 1.358482e-03 | Free_top: 8.608324e-02 | Free_bot: 5.555231e-02 | Load: 1.435019e-01 | Energy: -3.590028e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.260303e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.642250e-01 | Time: 0.5297s
L-BFGS Step 48: Total Loss: 1.844403e+02 | PDE: 6.364134e-01 | BC_sides: 1.353994e-03 | Free_top: 8.671149e-02 | Free_bot: 5.703532e-02 | Load: 1.434331e-01 | Energy: -3.581967e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.349381e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.635794e-01 | Time: 0.5368s
L-BFGS Step 49: Total Loss: 1.843108e+02 | PDE: 6.753806e-01 | BC_sides: 1.343346e-03 | Free_top: 8.633488e-02 | Free_bot: 6.450140e-02 | Load: 1.418592e-01 | Energy: -3.550661e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.542967e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.624921e-01 | Time: 0.5242s
L-BFGS Step 50: Total Loss: 1.840413e+02 | PDE: 7.297766e-01 | BC_sides: 1.308637e-03 | Free_top: 8.579080e-02 | Free_bot: 7.290796e-02 | Load: 1.388175e-01 | Energy: -3.493987e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 3.816024e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.600945e-01 | Time: 0.5233s
L-BFGS Step 51: Total Loss: 1.836401e+02 | PDE: 8.589770e-01 | BC_sides: 1.209360e-03 | Free_top: 9.114099e-02 | Free_bot: 1.073179e-01 | Load: 1.469409e-01 | Energy: -3.291004e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 4.647411e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.536888e-01 | Time: 0.5330s
L-BFGS Step 52: Total Loss: 1.829193e+02 | PDE: 8.863629e-01 | BC_sides: 1.162291e-03 | Free_top: 8.655072e-02 | Free_bot: 1.236260e-01 | Load: 1.434485e-01 | Energy: -3.218493e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 4.493435e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.506637e-01 | Time: 0.5319s
L-BFGS Step 53: Total Loss: 1.824080e+02 | PDE: 9.003935e-01 | BC_sides: 1.105343e-03 | Free_top: 9.054443e-02 | Free_bot: 1.302602e-01 | Load: 1.533687e-01 | Energy: -3.123031e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 4.592590e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.475614e-01 | Time: 0.5378s
L-BFGS Step 54: Total Loss: 1.819821e+02 | PDE: 8.719010e-01 | BC_sides: 1.087409e-03 | Free_top: 9.189266e-02 | Free_bot: 1.373640e-01 | Load: 1.614724e-01 | Energy: -3.099339e-03 | ImpactC: 0.000000e+00 | FricC: 0.000000e+00 | FricS: 0.000000e+00 | Interface: 4.448957e-03 | ImpactInv: 0.000000e+00 | FEM MAE: 2.464698e-01 | Time: 0.5526s
